Tavula	Tiamù	0
Tavula	Ticó	0
Tavula	Tokha	0
Tiamù	Ticó	0
Tiamù	Tokha	0
Tokha	Ticó	0
Tokha	Laçao	1
Ticó	Laçao	1
Ticó	Kita	0
Kita	Kosa	0
Kita	Kiola	0
Kita	Khont-Rolah	0
Kosa	Kiola	0
Kosa	Khont-Rolah	0
Kiola	Khont-Rolah	0
Kiola	Fuego	0
Khont-Rolah	Mutaa	1
Khont-Rolah	Milaù	0
Khont-Rolah	Fuego	1
Fuego	Fama	0
Fuego	Fissah	0
Fuego	Mokah	0
Fama	Finista	0
Fama	Fissah	0
Finista	Fissah	0
Fissah	Mokah	1
Mokah	Mutaa	0
Mokah	Maÿa	0
Mokah	Milaù	0
Mutaa	Maÿa	0
Mutaa	Massao	0
Mutaa	Milaù	0
Maÿa	Massao	0
Milaù	Massao	0
Milaù	Laçao	1
Milaù	Loà	0
Laçao	Loà	0
Laçao	Loümu	0
Laçao	Lokha	0
Loümu	Loà	0
Loümu	Lokha	0
